e0,e1,e2,e4,e5,e6,e9,e10,e11,e15,e18,e21,e22,e23
354,93.0,96.0,96.0,91.0,85.0,87.0,80.0,51.0,69.0,82.0,100.0,66.0,94
355,100.0,100.0,100.0,84.0,81.0,100.0,95.0,93.0,92.0,100.0,100.0,81.0,100
357,48.0,51.0,50.0,58.0,58.0,68.0,53.0,56.0,58.0,57.0,62.0,60.0,64
358,85.0,92.0,85.0,73.0,84.0,94.0,66.0,66.0,39.0,87.0,75.0,55.0,63
360,64.0,55.0,66.0,61.0,60.0,50.0,67.0,62.0,60.0,50.0,69.0,38.0,60
361,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,36.0,100
362,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
363,100.0,100.0,100.0,50.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,32.0,100
365,50.0,52.0,50.0,50.0,50.0,67.0,51.0,51.0,51.0,62.0,68.0,50.0,34
366,100.0,99.0,100.0,73.0,74.0,100.0,100.0,97.0,90.0,62.0,87.0,95.0,100
367,100.0,98.0,100.0,65.0,79.0,88.0,82.0,86.0,70.0,81.0,92.0,29.0,78
369,53.0,100.0,95.0,84.0,81.0,90.0,100.0,92.0,69.0,73.0,100.0,43.0,88
370,88.0,33.0,85.0,21.0,29.0,70.0,79.0,78.0,65.0,73.0,50.0,19.0,82
371,97.0,95.0,88.0,96.0,76.0,85.0,100.0,93.0,54.0,80.0,96.0,53.0,88
372,97.0,98.0,94.0,97.0,97.0,84.0,83.0,88.0,86.0,96.0,98.0,95.0,98
373,50.0,50.0,83.0,77.0,74.0,50.0,100.0,100.0,57.0,100.0,77.0,100.0,100
374,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,51.0,100.0,100.0,22.0,100
375,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,100.0,100
376,78.0,84.0,88.0,74.0,76.0,80.0,78.0,80.0,77.0,68.0,70.0,84.0,53
377,73.0,42.0,64.0,38.0,42.0,50.0,35.0,37.0,34.0,41.0,65.0,40.0,31
378,93.0,91.0,91.0,94.0,95.0,100.0,99.0,100.0,89.0,91.0,97.0,88.0,84
379,83.0,86.0,93.0,100.0,100.0,100.0,100.0,100.0,87.0,100.0,90.0,43.0,100
380,83.0,27.0,100.0,71.0,67.0,90.0,46.0,47.0,47.0,23.0,65.0,47.0,47
381,100.0,100.0,100.0,75.0,52.0,99.0,100.0,100.0,77.0,76.0,68.0,100.0,89
382,99.0,50.0,66.0,50.0,77.0,77.0,50.0,50.0,50.0,64.0,74.0,72.0,98
383,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51
384,83.0,94.0,92.0,79.0,79.0,87.0,88.0,89.0,71.0,73.0,80.0,85.0,83
385,100.0,100.0,100.0,95.0,100.0,100.0,93.0,100.0,93.0,100.0,96.0,83.0,97
386,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,95
387,91.0,93.0,96.0,86.0,89.0,93.0,89.0,92.0,90.0,91.0,94.0,86.0,89
389,82.0,84.0,85.0,67.0,68.0,83.0,97.0,93.0,43.0,69.0,76.0,75.0,75
391,100.0,100.0,100.0,87.0,70.0,100.0,100.0,100.0,97.0,78.0,100.0,100.0,64
392,100.0,74.0,61.0,70.0,69.0,88.0,100.0,91.0,76.0,72.0,78.0,56.0,82
394,100.0,100.0,100.0,88.0,94.0,100.0,100.0,100.0,83.0,96.0,100.0,68.0,100
395,34.0,46.0,33.0,77.0,82.0,91.0,86.0,91.0,91.0,63.0,82.0,71.0,84
397,94.0,92.0,95.0,91.0,97.0,100.0,83.0,100.0,88.0,91.0,87.0,67.0,74
398,87.0,84.0,78.0,59.0,67.0,88.0,82.0,78.0,64.0,63.0,77.0,68.0,81
399,94.0,95.0,98.0,92.0,83.0,95.0,100.0,95.0,80.0,95.0,91.0,91.0,93
400,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,98.0,100.0,96.0,100
401,89.0,90.0,86.0,81.0,73.0,85.0,89.0,90.0,80.0,85.0,85.0,82.0,86
402,81.0,85.0,85.0,68.0,62.0,66.0,85.0,55.0,42.0,79.0,63.0,51.0,80
403,79.0,84.0,89.0,50.0,75.0,92.0,89.0,94.0,72.0,87.0,89.0,50.0,50
404,100.0,100.0,100.0,79.0,87.0,100.0,100.0,90.0,85.0,84.0,79.0,79.0,92
405,67.0,64.0,66.0,76.0,62.0,99.0,97.0,87.0,83.0,66.0,68.0,94.0,95
406,100.0,92.0,100.0,90.0,86.0,100.0,86.0,90.0,99.0,83.0,88.0,80.0,81
407,100.0,100.0,100.0,30.0,50.0,100.0,36.0,50.0,67.0,65.0,93.0,24.0,51
408,79.0,87.0,77.0,55.0,70.0,69.0,56.0,68.0,61.0,52.0,72.0,85.0,63
409,95.0,96.0,100.0,76.0,86.0,69.0,70.0,68.0,72.0,65.0,89.0,78.0,91
410,70.0,80.0,83.0,67.0,65.0,66.0,98.0,70.0,61.0,77.0,71.0,88.0,57
411,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,62
412,38.0,71.0,23.0,33.0,57.0,100.0,100.0,75.0,28.0,32.0,62.0,34.0,64
413,83.0,74.0,99.0,41.0,44.0,80.0,100.0,17.0,30.0,24.0,10.0,25.0,3
414,70.0,76.0,59.0,38.0,50.0,86.0,45.0,68.0,27.0,83.0,22.0,33.0,73
415,100.0,98.0,96.0,94.0,93.0,94.0,82.0,86.0,95.0,93.0,89.0,86.0,59
416,100.0,100.0,100.0,98.0,97.0,99.0,100.0,99.0,87.0,99.0,95.0,97.0,100
418,100.0,96.0,99.0,88.0,98.0,94.0,96.0,85.0,88.0,89.0,51.0,94.0,73
419,100.0,100.0,100.0,100.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
420,72.0,75.0,83.0,55.0,62.0,75.0,79.0,78.0,69.0,66.0,46.0,51.0,57
421,85.0,78.0,99.0,62.0,72.0,99.0,57.0,87.0,82.0,100.0,67.0,94.0,100
422,84.0,80.0,51.0,90.0,93.0,88.0,90.0,58.0,55.0,31.0,73.0,55.0,57
423,100.0,100.0,100.0,100.0,97.0,82.0,90.0,87.0,90.0,88.0,94.0,60.0,79
424,100.0,95.0,100.0,83.0,82.0,92.0,97.0,91.0,27.0,95.0,99.0,30.0,100
425,92.0,85.0,95.0,86.0,81.0,81.0,76.0,65.0,67.0,72.0,59.0,74.0,51
426,100.0,95.0,100.0,100.0,77.0,100.0,97.0,97.0,70.0,88.0,93.0,69.0,100
427,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,100
428,100.0,98.0,100.0,83.0,93.0,100.0,100.0,100.0,1.0,83.0,65.0,30.0,92
429,87.0,50.0,50.0,50.0,79.0,85.0,90.0,90.0,73.0,84.0,89.0,50.0,98
430,92.0,90.0,91.0,89.0,88.0,100.0,95.0,93.0,92.0,90.0,78.0,89.0,88
431,100.0,98.0,100.0,99.0,50.0,99.0,99.0,98.0,98.0,89.0,100.0,62.0,50
433,83.0,85.0,83.0,66.0,79.0,88.0,88.0,83.0,95.0,89.0,92.0,61.0,73
434,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,51.0,93
435,97.0,99.0,93.0,72.0,50.0,94.0,97.0,83.0,75.0,94.0,75.0,80.0,99
437,84.0,89.0,88.0,86.0,87.0,93.0,86.0,91.0,64.0,28.0,84.0,26.0,91
438,76.0,72.0,99.0,72.0,81.0,89.0,86.0,90.0,88.0,93.0,94.0,68.0,80
439,80.0,83.0,63.0,52.0,100.0,100.0,94.0,100.0,99.0,94.0,92.0,94.0,100
440,73.0,81.0,86.0,71.0,71.0,91.0,96.0,70.0,78.0,89.0,73.0,86.0,63
441,69.0,53.0,50.0,64.0,82.0,97.0,93.0,66.0,75.0,85.0,71.0,58.0,78
442,100.0,100.0,100.0,92.0,94.0,98.0,97.0,100.0,95.0,98.0,92.0,89.0,95
443,61.0,60.0,61.0,72.0,65.0,62.0,63.0,60.0,61.0,56.0,63.0,58.0,61
